Mean Degree,Var Degree,Num Edges,Clustering,Components,Diameter,Final size,Net Type
9.090909090909092,66.26446280991735,165,0.03724603174603174,5,inf,0.89,Demon
9.090909090909092,55.71900826446281,168,0.031047619047619057,7,inf,0.84,ER
12.5,87.75,141,0.03266666666666666,5,inf,0.85,Demon
10.0,84.6,137,0.0033333333333333335,6,inf,0.72,ER
11.11111111111111,80.98765432098764,148,0.034595238095238096,5,inf,0.83,Demon
12.5,58.0,131,0.03233333333333333,9,inf,0.74,ER
10.0,94.2,156,0.04094444444444445,4,inf,0.85,Demon
11.11111111111111,69.20987654320987,155,0.0325,6,inf,0.01,ER
12.5,67.75,161,0.04928571428571428,6,inf,0.84,Demon
14.285714285714286,37.91836734693878,161,0.029666666666666668,7,inf,0.87,ER
10.0,62.0,182,0.02001587301587302,2,inf,0.76,Demon
12.5,93.5,119,0.025333333333333333,11,inf,0.72,ER
12.5,79.75,166,0.028761904761904763,3,inf,0.92,Demon
11.11111111111111,54.098765432098766,166,0.018952380952380953,6,inf,0.88,ER
11.11111111111111,83.4320987654321,137,0.03635714285714286,10,inf,0.81,Demon
12.5,67.25,128,0.010142857142857143,9,inf,0.76,ER
12.5,54.75,132,0.034333333333333334,14,inf,0.02,Demon
10.0,80.2,163,0.02884126984126984,3,inf,0.84,ER
12.5,67.0,164,0.02966666666666667,5,inf,0.01,Demon
10.0,78.2,164,0.042277777777777775,5,inf,0.79,ER
8.333333333333334,50.72222222222223,213,0.03791269841269842,2,inf,0.94,Demon
12.5,92.5,141,0.009142857142857142,8,inf,0.73,ER
11.11111111111111,76.98765432098764,150,0.010166666666666666,5,inf,0.82,Demon
12.5,60.0,144,0.017142857142857144,6,inf,0.87,ER
10.0,60.8,163,0.023253968253968253,7,inf,0.81,Demon
14.285714285714286,57.63265306122448,124,0.0,10,inf,0.73,ER
12.5,69.75,147,0.02814285714285715,8,inf,0.65,Demon
12.5,84.25,150,0.0061428571428571435,3,inf,0.91,ER
10.0,46.8,170,0.030198412698412704,7,inf,0.83,Demon
12.5,79.25,143,0.02247619047619048,5,inf,0.75,ER
12.5,72.25,143,0.03514285714285715,6,inf,0.89,Demon
12.5,72.25,159,0.05347619047619048,4,inf,0.69,ER
12.5,82.75,148,0.06147619047619046,3,inf,0.86,Demon
11.11111111111111,63.65432098765432,142,0.024595238095238097,8,inf,0.81,ER
11.11111111111111,59.4320987654321,139,0.02602380952380953,11,inf,0.73,Demon
10.0,71.0,149,0.009507936507936507,8,inf,0.81,ER
9.090909090909092,70.44628099173553,157,0.020444444444444442,6,inf,0.86,Demon
11.11111111111111,75.87654320987653,167,0.027976190476190477,2,inf,0.84,ER
12.5,78.0,131,0.03380952380952382,10,inf,0.75,Demon
10.0,60.4,146,0.018246031746031746,8,inf,0.72,ER
14.285714285714286,77.91836734693878,149,0.06866666666666667,3,inf,0.91,Demon
10.0,71.6,150,0.018611111111111113,7,inf,0.85,ER
11.11111111111111,70.98765432098764,158,0.04476190476190475,5,inf,0.83,Demon
11.11111111111111,73.65432098765432,151,0.03547619047619047,4,inf,0.88,ER
10.0,94.4,136,0.039420634920634925,5,inf,0.65,Demon
11.11111111111111,65.87654320987654,145,0.026476190476190483,10,inf,0.75,ER
12.5,92.75,134,0.030619047619047622,9,inf,0.76,Demon
12.5,69.5,160,0.03561904761904762,4,inf,0.78,ER
9.090909090909092,74.62809917355372,138,0.03211111111111111,7,inf,0.7,Demon
10.0,64.8,160,0.042015873015873006,6,inf,0.86,ER
12.5,72.0,136,0.0,7,inf,0.78,Demon
11.11111111111111,55.65432098765432,143,0.0058095238095238096,8,inf,0.8,ER
11.11111111111111,64.54320987654322,182,0.03771428571428572,2,inf,0.94,Demon
8.333333333333334,85.22222222222221,151,0.05945887445887444,8,inf,0.72,ER
10.0,99.0,120,0.012333333333333333,12,inf,0.7,Demon
11.11111111111111,75.87654320987654,132,0.01633333333333333,10,inf,0.59,ER
8.333333333333334,40.05555555555556,230,0.03718109668109669,1,6.0,0.95,Demon
12.5,65.75,135,0.04280952380952382,7,inf,0.78,ER
12.5,79.5,130,0.020476190476190474,10,inf,0.12,Demon
11.11111111111111,91.43209876543209,159,0.031214285714285715,6,inf,0.76,ER
14.285714285714286,81.06122448979592,139,0.042666666666666665,6,inf,0.82,Demon
12.5,58.5,152,0.0,7,inf,0.81,ER
10.0,62.0,163,0.018269841269841273,6,inf,0.84,Demon
12.5,78.75,141,0.029238095238095237,4,inf,0.81,ER
11.11111111111111,82.98765432098766,146,0.015476190476190475,4,inf,0.66,Demon
11.11111111111111,54.98765432098766,149,0.018119047619047618,8,inf,0.74,ER
10.0,70.2,152,0.005,6,inf,0.73,Demon
10.0,40.6,169,0.02561904761904762,9,inf,0.78,ER
9.090909090909092,85.53719008264461,153,0.03253174603174603,4,inf,0.84,Demon
10.0,92.4,157,0.011365079365079364,5,inf,0.93,ER
12.5,69.25,152,0.04666666666666667,4,inf,0.87,Demon
11.11111111111111,78.5432098765432,135,0.0023333333333333335,8,inf,0.71,ER
12.5,72.5,139,0.010476190476190477,12,inf,0.01,Demon
12.5,59.5,144,0.024000000000000004,7,inf,0.88,ER
12.5,70.5,151,0.005952380952380952,7,inf,0.81,Demon
11.11111111111111,82.76543209876542,140,0.015333333333333332,7,inf,0.74,ER
12.5,55.25,155,0.015476190476190475,5,inf,0.87,Demon
11.11111111111111,96.09876543209876,142,0.043642857142857136,6,inf,0.79,ER
11.11111111111111,45.876543209876544,171,0.02661904761904761,5,inf,0.9,Demon
11.11111111111111,75.87654320987654,143,0.02,5,inf,0.74,ER
11.11111111111111,53.4320987654321,185,0.02288095238095238,3,inf,0.9,Demon
10.0,89.8,146,0.03850793650793651,8,inf,0.8,ER
12.5,92.75,131,0.020809523809523812,6,inf,0.84,Demon
11.11111111111111,96.32098765432097,129,0.003666666666666667,8,inf,0.62,ER
9.090909090909092,55.90082644628099,156,0.05157142857142856,10,inf,0.74,Demon
11.11111111111111,83.65432098765432,141,0.06830952380952382,6,inf,0.02,ER
11.11111111111111,42.98765432098766,172,0.04307142857142858,6,inf,0.01,Demon
9.090909090909092,54.08264462809917,162,0.022023809523809525,7,inf,0.81,ER
11.11111111111111,46.32098765432099,188,0.029714285714285714,4,inf,0.89,Demon
14.285714285714286,40.204081632653065,138,0.04133333333333334,11,inf,0.79,ER
12.5,59.5,139,0.013000000000000001,9,inf,0.85,Demon
12.5,108.25,137,0.025333333333333333,5,inf,0.85,ER
14.285714285714286,141.63265306122452,128,0.010333333333333332,6,inf,0.68,Demon
11.11111111111111,80.98765432098766,146,0.034833333333333334,6,inf,0.78,ER
14.285714285714286,56.48979591836735,147,0.036,8,inf,0.75,Demon
