Mean Degree,Var Degree,Num Edges,Clustering,Components,Diameter,Final size,Net Type
12.5,49.25,134,0.014428571428571426,13,inf,0.82,ER
10.0,68.6,148,0.005722222222222222,7,inf,0.8,Demon
12.5,50.75,139,0.012666666666666666,11,inf,0.78,ER
12.5,43.25,161,0.02138095238095238,8,inf,0.89,Demon
10.0,63.2,134,0.029761904761904764,11,inf,0.8,ER
11.11111111111111,58.09876543209876,165,0.03540476190476191,4,inf,0.9,Demon
12.5,73.25,153,0.0420952380952381,4,inf,0.81,ER
12.5,94.25,164,0.009333333333333332,4,inf,0.87,Demon
10.0,89.0,137,0.0030000000000000005,7,inf,0.68,ER
11.11111111111111,61.876543209876544,138,0.03069047619047619,12,inf,0.73,Demon
11.11111111111111,62.76543209876542,167,0.017619047619047618,4,inf,0.78,ER
9.090909090909092,86.44628099173552,151,0.011023809523809523,3,inf,0.79,Demon
12.5,100.5,152,0.03561904761904761,2,inf,0.85,ER
8.333333333333334,81.3888888888889,174,0.020284271284271287,4,inf,0.91,Demon
11.11111111111111,100.32098765432097,122,0.008357142857142856,10,inf,0.65,ER
12.5,88.25,129,0.006952380952380951,7,inf,0.7,Demon
12.5,80.5,142,0.016476190476190474,6,inf,0.01,ER
9.090909090909092,96.80991735537191,174,0.027079365079365078,2,inf,0.9,Demon
11.11111111111111,71.87654320987656,138,0.02169047619047619,11,inf,0.81,ER
11.11111111111111,96.32098765432097,137,0.025690476190476187,10,inf,0.74,Demon
10.0,70.4,160,0.02109523809523809,4,inf,0.84,ER
11.11111111111111,64.76543209876543,177,0.03326190476190477,2,inf,0.83,Demon
10.0,80.8,153,0.041420634920634906,4,inf,0.87,ER
10.0,70.2,168,0.06920634920634919,6,inf,0.84,Demon
12.5,60.0,130,0.023809523809523815,10,inf,0.27,ER
11.11111111111111,110.32098765432099,134,0.012666666666666668,6,inf,0.78,Demon
11.11111111111111,77.87654320987654,167,0.03614285714285715,4,inf,0.87,ER
12.5,80.25,159,0.021142857142857147,3,inf,0.92,Demon
11.11111111111111,77.87654320987653,144,0.02276190476190477,7,inf,0.8,ER
12.5,60.25,158,0.03147619047619048,5,inf,0.84,Demon
12.5,85.25,149,0.020952380952380948,4,inf,0.84,ER
11.11111111111111,59.65432098765432,167,0.027476190476190477,8,inf,0.84,Demon
10.0,69.6,160,0.005357142857142857,4,inf,0.8,ER
11.11111111111111,82.09876543209876,140,0.02935714285714286,7,inf,0.78,Demon
