Mean Degree,Var Degree,Num Edges,Clustering,Components,Diameter,Final size,Net Type
11.11111111111111,77.87654320987654,146,0.021142857142857147,3,inf,0.86,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
12.5,71.0,152,0.0360952380952381,5,inf,0.79,ER
1.7241379310344827,82.57907253269917,56,0.0,45,inf,0.55,Demon
11.11111111111111,119.87654320987654,157,0.008023809523809523,3,inf,0.87,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
8.333333333333334,87.72222222222221,145,0.023506493506493503,9,inf,0.74,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
12.5,64.0,169,0.04576190476190476,3,inf,0.9,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
12.5,64.25,148,0.026666666666666665,7,inf,0.75,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
11.11111111111111,70.09876543209877,144,0.020809523809523812,8,inf,0.82,ER
1.408450704225352,76.69232295179538,69,0.0,32,inf,0.67,Demon
10.0,105.2,142,0.019888888888888887,6,inf,0.79,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
12.5,77.0,139,0.009142857142857142,6,inf,0.01,ER
1.408450704225352,76.69232295179538,69,0.0,32,inf,0.49,Demon
10.0,60.6,171,0.02383333333333333,6,inf,0.84,ER
1.2820512820512822,77.86916502301115,76,0.0,25,inf,0.75,Demon
9.090909090909092,58.8099173553719,168,0.009007936507936506,4,inf,0.85,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
10.0,60.4,178,0.035404761904761904,2,inf,0.89,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
11.11111111111111,62.32098765432099,169,0.039214285714285715,3,inf,0.94,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
12.5,97.0,144,0.006,2,inf,0.86,ER
10.0,751.4,8,0.0,93,inf,0.07,Demon
11.11111111111111,73.4320987654321,143,0.02302380952380953,7,inf,0.01,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
12.5,67.25,153,0.019476190476190473,3,inf,0.71,ER
4.761904761904762,305.2290249433107,19,0.0,82,inf,0.19,Demon
11.11111111111111,92.09876543209877,151,0.024976190476190475,4,inf,0.86,ER
2.5641025641025643,128.45101906640372,37,0.0,64,inf,0.29,Demon
11.11111111111111,64.76543209876543,164,0.04200000000000001,4,inf,0.89,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
11.11111111111111,77.43209876543209,153,0.022833333333333337,7,inf,0.83,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
10.0,72.8,168,0.029079365079365083,3,inf,0.93,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
12.5,56.0,144,0.04866666666666667,8,inf,0.68,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
11.11111111111111,47.876543209876544,155,0.03645238095238096,10,inf,0.75,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
12.5,37.5,150,0.026142857142857148,8,inf,0.77,ER
2.1739130434782608,103.66540642722121,44,0.0,57,inf,0.43,Demon
11.11111111111111,75.65432098765433,144,0.033761904761904764,6,inf,0.02,ER
1.3888888888888888,76.70987654320993,70,0.0,31,inf,0.7,Demon
10.0,65.8,157,0.030420634920634924,7,inf,0.77,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
11.11111111111111,66.54320987654322,148,0.033357142857142856,6,inf,0.79,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
12.5,73.25,149,0.012142857142857143,7,inf,0.81,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
11.11111111111111,53.65432098765432,135,0.012333333333333333,14,inf,0.73,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
11.11111111111111,70.76543209876542,151,0.01069047619047619,7,inf,0.78,ER
1.6129032258064515,79.36628511966708,60,0.0,41,inf,0.59,Demon
11.11111111111111,44.543209876543216,156,0.03378571428571429,7,inf,0.82,ER
1.7857142857142858,84.7755102040816,54,0.0,47,inf,0.53,Demon
